[ 2026-08-11 14:07:46,227 ] INFO | InsightCart | Loading Inference Artifacts
[ 2026-08-11 14:07:46,228 ] INFO | InsightCart | Loading Object : artifacts/models/best_linear_svm_calibrated.pkl
[ 2026-08-11 14:07:46,233 ] INFO | InsightCart | Loading Object : artifacts/models/tfidf_vectorizer.pkl
[ 2026-08-11 14:07:46,253 ] INFO | InsightCart | Loading Object : artifacts/models/category_encoder.pkl
[ 2026-08-11 14:07:46,253 ] INFO | InsightCart | Loading Object : artifacts/models/rating_scaler.pkl
[ 2026-08-11 14:07:46,253 ] INFO | InsightCart | Inference Artifacts Loaded Successfully
[ 2026-08-11 14:07:46,253 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:07:47,046 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:07:47,047 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:07:47,047 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:07:47,050 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:07:47,050 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:07:47,050 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:07:47,050 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:07:47,050 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:07:47,052 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:07:47,052 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:07:47,052 ] ERROR | InsightCart | Prediction Failed
