[ 2026-08-11 13:57:39,131 ] INFO | InsightCart | Loading Inference Artifacts
[ 2026-08-11 13:57:39,131 ] INFO | InsightCart | Loading Object : artifacts/models/best_linear_svm_calibrated.pkl
[ 2026-08-11 13:57:39,140 ] INFO | InsightCart | Loading Object : artifacts/models/tfidf_vectorizer.pkl
[ 2026-08-11 13:57:39,160 ] INFO | InsightCart | Loading Object : artifacts/models/category_encoder.pkl
[ 2026-08-11 13:57:39,160 ] INFO | InsightCart | Loading Object : artifacts/models/rating_scaler.pkl
[ 2026-08-11 13:57:39,161 ] INFO | InsightCart | Inference Artifacts Loaded Successfully
[ 2026-08-11 13:57:39,161 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 13:57:39,958 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 13:57:39,960 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 13:57:39,960 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 13:57:39,963 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 13:57:39,963 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 13:57:39,963 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 13:57:39,963 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 13:57:39,963 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 13:57:39,965 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 13:57:39,965 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 13:57:39,965 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 13:57:39,965 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 13:57:39,966 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 13:57:39,967 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 13:57:39,967 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 13:57:39,968 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 13:57:39,968 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 13:57:39,968 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 13:57:39,970 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 13:57:39,970 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 13:57:39,970 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 13:57:39,970 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 13:57:39,971 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 13:57:39,973 ] INFO | InsightCart | Prediction Completed Successfully
