[ 2026-08-11 13:55:03,257 ] INFO | InsightCart | Loading Inference Artifacts
[ 2026-08-11 13:55:03,257 ] INFO | InsightCart | Loading Object : artifacts/models/best_linear_svm_calibrated.pkl
[ 2026-08-11 13:55:03,263 ] INFO | InsightCart | Loading Object : artifacts/models/tfidf_vectorizer.pkl
[ 2026-08-11 13:55:03,283 ] INFO | InsightCart | Loading Object : artifacts/models/category_encoder.pkl
[ 2026-08-11 13:55:03,283 ] INFO | InsightCart | Loading Object : artifacts/models/rating_scaler.pkl
[ 2026-08-11 13:55:03,283 ] INFO | InsightCart | Inference Artifacts Loaded Successfully
[ 2026-08-11 13:55:03,283 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 13:55:04,078 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 13:55:04,079 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 13:55:04,079 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 13:55:04,082 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 13:55:04,082 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 13:55:04,082 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 13:55:04,082 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 13:55:04,082 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 13:55:04,085 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 13:55:04,085 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 13:55:04,085 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 13:55:04,085 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 13:55:04,085 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 13:55:04,087 ] INFO | InsightCart | Prediction Completed Successfully
