[ 2026-08-11 14:07:05,870 ] INFO | InsightCart | Loading Inference Artifacts
[ 2026-08-11 14:07:05,870 ] INFO | InsightCart | Loading Object : artifacts/models/best_linear_svm_calibrated.pkl
[ 2026-08-11 14:07:05,877 ] INFO | InsightCart | Loading Object : artifacts/models/tfidf_vectorizer.pkl
[ 2026-08-11 14:07:05,898 ] INFO | InsightCart | Loading Object : artifacts/models/category_encoder.pkl
[ 2026-08-11 14:07:05,898 ] INFO | InsightCart | Loading Object : artifacts/models/rating_scaler.pkl
[ 2026-08-11 14:07:05,898 ] INFO | InsightCart | Inference Artifacts Loaded Successfully
[ 2026-08-11 14:07:05,898 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:07:06,687 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:07:06,689 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:07:06,690 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:07:06,692 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:07:06,692 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:07:06,692 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:07:06,692 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:07:06,692 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:07:06,694 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:07:06,694 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:07:06,694 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:07:06,695 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:07:06,695 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:07:06,697 ] INFO | InsightCart | Prediction Completed Successfully
