[ 2026-08-11 14:09:19,155 ] INFO | InsightCart | Loading Inference Artifacts
[ 2026-08-11 14:09:19,155 ] INFO | InsightCart | Loading Object : artifacts/models/best_linear_svm_calibrated.pkl
[ 2026-08-11 14:09:19,164 ] INFO | InsightCart | Loading Object : artifacts/models/tfidf_vectorizer.pkl
[ 2026-08-11 14:09:19,188 ] INFO | InsightCart | Loading Object : artifacts/models/category_encoder.pkl
[ 2026-08-11 14:09:19,188 ] INFO | InsightCart | Loading Object : artifacts/models/rating_scaler.pkl
[ 2026-08-11 14:09:19,189 ] INFO | InsightCart | Inference Artifacts Loaded Successfully
[ 2026-08-11 14:09:19,189 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:09:19,995 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:09:19,996 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:09:19,997 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:09:19,999 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:09:19,999 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:09:19,999 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:09:20,000 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:09:20,000 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:09:20,002 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:09:20,002 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:09:20,002 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:09:20,002 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:09:20,002 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:09:20,005 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:09:20,005 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:09:20,005 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:09:20,005 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:09:20,006 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:09:20,008 ] INFO | InsightCart | Prediction Completed Successfully
