[ 2026-08-11 14:03:49,536 ] INFO | InsightCart | Loading Inference Artifacts
[ 2026-08-11 14:03:49,536 ] INFO | InsightCart | Loading Object : artifacts/models/best_linear_svm_calibrated.pkl
[ 2026-08-11 14:03:49,544 ] INFO | InsightCart | Loading Object : artifacts/models/tfidf_vectorizer.pkl
[ 2026-08-11 14:03:49,566 ] INFO | InsightCart | Loading Object : artifacts/models/category_encoder.pkl
[ 2026-08-11 14:03:49,566 ] INFO | InsightCart | Loading Object : artifacts/models/rating_scaler.pkl
[ 2026-08-11 14:03:49,566 ] INFO | InsightCart | Inference Artifacts Loaded Successfully
[ 2026-08-11 14:03:49,566 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:03:50,342 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:03:50,343 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:03:50,344 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:03:50,346 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:03:50,346 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:03:50,347 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:03:50,347 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:03:50,347 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:03:50,349 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:03:50,349 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:03:50,349 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:03:50,349 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:03:50,349 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:03:50,351 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:03:50,351 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:03:50,351 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:03:50,351 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:03:50,351 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:03:50,353 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:03:50,353 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:03:50,354 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:03:50,354 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:03:50,354 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:03:50,356 ] INFO | InsightCart | Prediction Completed Successfully
