[ 2026-08-11 14:08:13,555 ] INFO | InsightCart | Loading Inference Artifacts
[ 2026-08-11 14:08:13,555 ] INFO | InsightCart | Loading Object : artifacts/models/best_linear_svm_calibrated.pkl
[ 2026-08-11 14:08:13,563 ] INFO | InsightCart | Loading Object : artifacts/models/tfidf_vectorizer.pkl
[ 2026-08-11 14:08:13,583 ] INFO | InsightCart | Loading Object : artifacts/models/category_encoder.pkl
[ 2026-08-11 14:08:13,583 ] INFO | InsightCart | Loading Object : artifacts/models/rating_scaler.pkl
[ 2026-08-11 14:08:13,583 ] INFO | InsightCart | Inference Artifacts Loaded Successfully
[ 2026-08-11 14:08:13,583 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:08:14,372 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:08:14,373 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:08:14,374 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:08:14,376 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:08:14,376 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:08:14,376 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:08:14,377 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:08:14,377 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:08:14,379 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:08:14,379 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:08:14,379 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:08:14,379 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:08:14,379 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:08:14,381 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:08:14,381 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:08:14,381 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:08:14,381 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:08:14,382 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:08:14,384 ] INFO | InsightCart | Prediction Completed Successfully
