[ 2026-08-11 13:44:04,617 ] INFO | InsightCart | Loading Inference Artifacts
[ 2026-08-11 13:44:04,617 ] INFO | InsightCart | Loading Object : artifacts/models/best_linear_svm_calibrated.pkl
[ 2026-08-11 13:44:04,625 ] INFO | InsightCart | Loading Object : artifacts/models/tfidf_vectorizer.pkl
[ 2026-08-11 13:44:04,648 ] INFO | InsightCart | Loading Object : artifacts/models/category_encoder.pkl
[ 2026-08-11 13:44:04,648 ] INFO | InsightCart | Inference Artifacts Loaded Successfully
[ 2026-08-11 13:44:04,648 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 13:44:05,431 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 13:44:05,432 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 13:44:05,435 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 13:44:05,435 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 13:44:05,435 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 13:44:05,435 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 13:44:05,437 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 13:44:05,437 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 13:44:05,438 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 13:44:05,438 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 13:44:05,440 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 13:44:05,440 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 13:44:05,440 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 13:44:05,440 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 13:44:05,442 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 13:44:05,442 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 13:44:05,442 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 13:44:05,442 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 13:44:05,444 ] INFO | InsightCart | Prediction Completed Successfully
