[ 2026-08-11 14:07:35,166 ] INFO | InsightCart | Loading Inference Artifacts
[ 2026-08-11 14:07:35,166 ] INFO | InsightCart | Loading Object : artifacts/models/best_linear_svm_calibrated.pkl
[ 2026-08-11 14:07:35,174 ] INFO | InsightCart | Loading Object : artifacts/models/tfidf_vectorizer.pkl
[ 2026-08-11 14:07:35,195 ] INFO | InsightCart | Loading Object : artifacts/models/category_encoder.pkl
[ 2026-08-11 14:07:35,195 ] INFO | InsightCart | Loading Object : artifacts/models/rating_scaler.pkl
[ 2026-08-11 14:07:35,196 ] INFO | InsightCart | Inference Artifacts Loaded Successfully
[ 2026-08-11 14:07:35,196 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:07:35,990 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:07:35,991 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:07:35,992 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:07:35,994 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:07:35,994 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:07:35,994 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:07:35,995 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:07:35,995 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:07:35,997 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:07:35,997 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:07:35,997 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:07:35,997 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:07:35,997 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:07:35,999 ] INFO | InsightCart | Prediction Completed Successfully
