[ 2026-08-11 14:06:26,010 ] INFO | InsightCart | Loading Inference Artifacts
[ 2026-08-11 14:06:26,010 ] INFO | InsightCart | Loading Object : artifacts/models/best_linear_svm_calibrated.pkl
[ 2026-08-11 14:06:26,018 ] INFO | InsightCart | Loading Object : artifacts/models/tfidf_vectorizer.pkl
[ 2026-08-11 14:06:26,038 ] INFO | InsightCart | Loading Object : artifacts/models/category_encoder.pkl
[ 2026-08-11 14:06:26,039 ] INFO | InsightCart | Loading Object : artifacts/models/rating_scaler.pkl
[ 2026-08-11 14:06:26,039 ] INFO | InsightCart | Inference Artifacts Loaded Successfully
[ 2026-08-11 14:06:26,039 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:06:26,832 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:06:26,833 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:06:26,834 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:06:26,836 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:06:26,836 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:06:26,836 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:06:26,837 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:06:26,837 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:06:26,839 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:06:26,839 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:06:26,839 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:06:26,839 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:06:26,839 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:06:26,841 ] INFO | InsightCart | Prediction Completed Successfully
