[ 2026-08-11 13:37:01,136 ] INFO | InsightCart | Loading Inference Artifacts
[ 2026-08-11 13:37:01,136 ] INFO | InsightCart | Loading Object : artifacts/models/best_linear_svm_calibrated.pkl
[ 2026-08-11 13:37:01,144 ] INFO | InsightCart | Loading Object : artifacts/models/tfidf_vectorizer.pkl
[ 2026-08-11 13:37:01,164 ] INFO | InsightCart | Loading Object : artifacts/models/category_encoder.pkl
[ 2026-08-11 13:37:01,164 ] INFO | InsightCart | Inference Artifacts Loaded Successfully
[ 2026-08-11 13:37:01,164 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 13:37:01,164 ] INFO | InsightCart | Cleaning Review Text
[ 2026-08-11 13:37:01,960 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 13:37:01,962 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 13:37:01,964 ] INFO | InsightCart | Prediction Completed Successfully
