[ 2026-08-11 14:05:15,739 ] INFO | InsightCart | Loading Inference Artifacts
[ 2026-08-11 14:05:15,739 ] INFO | InsightCart | Loading Object : artifacts/models/best_linear_svm_calibrated.pkl
[ 2026-08-11 14:05:15,747 ] INFO | InsightCart | Loading Object : artifacts/models/tfidf_vectorizer.pkl
[ 2026-08-11 14:05:15,767 ] INFO | InsightCart | Loading Object : artifacts/models/category_encoder.pkl
[ 2026-08-11 14:05:15,767 ] INFO | InsightCart | Loading Object : artifacts/models/rating_scaler.pkl
[ 2026-08-11 14:05:15,768 ] INFO | InsightCart | Inference Artifacts Loaded Successfully
[ 2026-08-11 14:05:15,768 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:05:16,594 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:05:16,595 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:05:16,595 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:05:16,598 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:05:16,598 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:05:16,598 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:05:16,598 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:05:16,599 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:05:16,601 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:05:16,601 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:05:16,601 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:05:16,601 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:05:16,601 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:05:16,603 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:05:16,603 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:05:16,603 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:05:16,604 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:05:16,604 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:05:16,606 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:05:16,606 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:05:16,606 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:05:16,607 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:05:16,607 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:05:16,609 ] INFO | InsightCart | Prediction Completed Successfully
