[ 2026-08-11 14:04:44,628 ] INFO | InsightCart | Loading Inference Artifacts
[ 2026-08-11 14:04:44,628 ] INFO | InsightCart | Loading Object : artifacts/models/best_linear_svm_calibrated.pkl
[ 2026-08-11 14:04:44,635 ] INFO | InsightCart | Loading Object : artifacts/models/tfidf_vectorizer.pkl
[ 2026-08-11 14:04:44,655 ] INFO | InsightCart | Loading Object : artifacts/models/category_encoder.pkl
[ 2026-08-11 14:04:44,655 ] INFO | InsightCart | Loading Object : artifacts/models/rating_scaler.pkl
[ 2026-08-11 14:04:44,656 ] INFO | InsightCart | Inference Artifacts Loaded Successfully
[ 2026-08-11 14:04:44,656 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:04:45,435 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:04:45,436 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:04:45,437 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:04:45,439 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:04:45,439 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:04:45,439 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:04:45,440 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:04:45,440 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:04:45,442 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:04:45,442 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:04:45,442 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:04:45,442 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:04:45,442 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:04:45,444 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:04:45,444 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:04:45,444 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:04:45,444 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:04:45,445 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:04:45,447 ] INFO | InsightCart | Prediction Completed Successfully
[ 2026-08-11 14:04:45,447 ] INFO | InsightCart | Starting Prediction Process
[ 2026-08-11 14:04:45,447 ] INFO | InsightCart | Generating TF-IDF Features
[ 2026-08-11 14:04:45,447 ] INFO | InsightCart | Encoding Product Category
[ 2026-08-11 14:04:45,447 ] INFO | InsightCart | Scaling Rating Feature
[ 2026-08-11 14:04:45,449 ] INFO | InsightCart | Prediction Completed Successfully
